bytes_in,bytes_out,total_bytes,bytes_out_in_ratio,creation_time_dt,end_time_dt,src_ip,is_repeated_src_ip_flag,src_ip_country_code,event_time_dt,attack_hour
4776536,289969,5066505,0.060706964,2024-04-26 01:10:00,2024-04-26 01:20:00,155.91.45.242,1,US,2024-04-26 01:10:00,1
528,858,1386,1.625,2024-04-26 01:10:00,2024-04-26 01:20:00,165.225.209.4,1,CA,2024-04-26 01:10:00,1
6376,11690,18066,1.833437892,2024-04-26 01:10:00,2024-04-26 01:20:00,147.161.131.1,1,AT,2024-04-26 01:10:00,1
9620,16178,25798,1.681704782,2024-04-26 01:20:00,2024-04-26 01:30:00,147.161.161.82,1,AE,2024-04-26 01:20:00,1
24442,25574,50016,1.046313722,2024-04-26 01:20:00,2024-04-26 01:30:00,136.226.67.101,1,US,2024-04-26 01:20:00,1
29586,15754,45340,0.532481579,2024-04-26 01:20:00,2024-04-26 01:30:00,165.225.212.255,1,CA,2024-04-26 01:20:00,1
30178,14280,44458,0.473192392,2024-04-26 01:20:00,2024-04-26 01:30:00,136.226.64.114,1,US,2024-04-26 01:20:00,1
1889834,34306,1924140,0.018152917,2024-04-26 01:20:00,2024-04-26 01:30:00,165.225.240.79,1,NL,2024-04-26 01:20:00,1
5154,2878,8032,0.558401242,2024-04-26 01:20:00,2024-04-26 01:30:00,136.226.77.103,1,CA,2024-04-26 01:20:00,1
12764,26284,39048,2.059229082,2024-04-26 01:20:00,2024-04-26 01:30:00,165.225.26.101,1,DE,2024-04-26 01:20:00,1
4788904,294113,5083017,0.061415514,2024-04-26 01:20:00,2024-04-26 01:30:00,155.91.45.242,1,US,2024-04-26 01:20:00,1
22366,31577,53943,1.411830457,2024-04-26 01:20:00,2024-04-26 01:30:00,165.225.209.4,1,CA,2024-04-26 01:20:00,1
6376,11690,18066,1.833437892,2024-04-26 01:20:00,2024-04-26 01:30:00,147.161.131.1,1,AT,2024-04-26 01:20:00,1
3618,2878,6496,0.795467109,2024-04-26 01:30:00,2024-04-26 01:40:00,147.161.161.82,1,AE,2024-04-26 01:30:00,1
23680,33014,56694,1.394172297,2024-04-26 01:30:00,2024-04-26 01:40:00,136.226.67.101,1,US,2024-04-26 01:30:00,1
28388,13468,41856,0.474425814,2024-04-26 01:30:00,2024-04-26 01:40:00,165.225.212.255,1,CA,2024-04-26 01:30:00,1
43840,13960,57800,0.318430657,2024-04-26 01:30:00,2024-04-26 01:40:00,136.226.64.114,1,US,2024-04-26 01:30:00,1
1253276,46666,1299942,0.037235214,2024-04-26 01:30:00,2024-04-26 01:40:00,165.225.240.79,1,NL,2024-04-26 01:30:00,1
4080,11386,15466,2.790686275,2024-04-26 01:30:00,2024-04-26 01:40:00,94.188.248.74,1,IL,2024-04-26 01:30:00,1
3206,11038,14244,3.442919526,2024-04-26 01:30:00,2024-04-26 01:40:00,165.225.8.79,1,US,2024-04-26 01:30:00,1
14222,9362,23584,0.658275911,2024-04-26 01:30:00,2024-04-26 01:40:00,165.225.26.101,1,DE,2024-04-26 01:30:00,1
4808787,301495,5110282,0.062696684,2024-04-26 01:30:00,2024-04-26 01:40:00,155.91.45.242,1,US,2024-04-26 01:30:00,1
7294,13707,21001,1.879215794,2024-04-26 01:30:00,2024-04-26 01:40:00,165.225.209.4,1,CA,2024-04-26 01:30:00,1
5824,12018,17842,2.06353022,2024-04-26 01:40:00,2024-04-26 01:50:00,165.225.33.6,1,US,2024-04-26 01:40:00,1
5492,12046,17538,2.193372178,2024-04-26 01:40:00,2024-04-26 01:50:00,136.226.67.101,1,US,2024-04-26 01:40:00,1
28644,7330,35974,0.255900014,2024-04-26 01:40:00,2024-04-26 01:50:00,165.225.213.7,1,CA,2024-04-26 01:40:00,1
3206,11142,14348,3.475358702,2024-04-26 01:40:00,2024-04-26 01:50:00,165.225.8.79,1,US,2024-04-26 01:40:00,1
38780,18682,57462,0.481743167,2024-04-26 01:40:00,2024-04-26 01:50:00,136.226.77.103,1,CA,2024-04-26 01:40:00,1
4869181,301752,5170933,0.061971818,2024-04-26 01:40:00,2024-04-26 01:50:00,155.91.45.242,1,US,2024-04-26 01:40:00,1
6046,4544,10590,0.751571287,2024-04-26 01:40:00,2024-04-26 01:50:00,165.225.209.4,1,CA,2024-04-26 01:40:00,1
6584,11898,18482,1.807108141,2024-04-26 01:40:00,2024-04-26 01:50:00,147.161.131.1,1,AT,2024-04-26 01:40:00,1
7666,14346,22012,1.87138012,2024-04-26 01:40:00,2024-04-26 01:50:00,136.226.80.97,1,US,2024-04-26 01:40:00,1
5140,4294,9434,0.83540856,2024-04-26 01:50:00,2024-04-26 02:00:00,147.161.161.82,1,AE,2024-04-26 01:50:00,1
37105,49494,86599,1.333890311,2024-04-26 01:50:00,2024-04-26 02:00:00,136.226.67.101,1,US,2024-04-26 01:50:00,1
28896,7328,36224,0.253599114,2024-04-26 01:50:00,2024-04-26 02:00:00,165.225.213.7,1,CA,2024-04-26 01:50:00,1
8872,14760,23632,1.663660956,2024-04-26 01:50:00,2024-04-26 02:00:00,165.225.26.101,1,DE,2024-04-26 01:50:00,1
4755578,292284,5047862,0.061461299,2024-04-26 01:50:00,2024-04-26 02:00:00,155.91.45.242,1,US,2024-04-26 01:50:00,1
11358,24124,35482,2.123965487,2024-04-26 01:50:00,2024-04-26 02:00:00,165.225.209.4,1,CA,2024-04-26 01:50:00,1
4264,11882,16146,2.786585366,2024-04-26 01:50:00,2024-04-26 02:00:00,147.161.131.1,1,AT,2024-04-26 01:50:00,1
3966,3248,7214,0.81896117,2024-04-26 01:50:00,2024-04-26 02:00:00,136.226.80.97,1,US,2024-04-26 01:50:00,1
35666,39032,74698,1.094375596,2024-04-26 08:00:00,2024-04-26 08:10:00,136.226.67.101,1,US,2024-04-26 08:00:00,8
28540,7228,35768,0.253258584,2024-04-26 08:00:00,2024-04-26 08:10:00,165.225.213.7,1,CA,2024-04-26 08:00:00,8
44408,22446,66854,0.505449469,2024-04-26 08:00:00,2024-04-26 08:10:00,136.226.64.114,1,US,2024-04-26 08:00:00,8
8202,6068,14270,0.739819556,2024-04-26 08:00:00,2024-04-26 08:10:00,165.225.26.101,1,DE,2024-04-26 08:00:00,8
18201558,1170896,19372454,0.064329438,2024-04-26 08:00:00,2024-04-26 08:10:00,155.91.45.242,1,US,2024-04-26 08:00:00,8
23836,41493,65329,1.740770263,2024-04-26 08:00:00,2024-04-26 08:10:00,165.225.209.4,1,CA,2024-04-26 08:00:00,8
3862,2982,6844,0.772138788,2024-04-26 08:00:00,2024-04-26 08:10:00,136.226.80.97,1,US,2024-04-26 08:00:00,8
15978,28154,44132,1.762047816,2024-04-26 08:10:00,2024-04-26 08:20:00,136.226.67.101,1,US,2024-04-26 08:10:00,8
28042,4834,32876,0.172384281,2024-04-26 08:10:00,2024-04-26 08:20:00,165.225.212.255,1,CA,2024-04-26 08:10:00,8
3618,2648,6266,0.731896075,2024-04-26 08:10:00,2024-04-26 08:20:00,94.188.248.74,1,IL,2024-04-26 08:10:00,8
13546,17742,31288,1.309759339,2024-04-26 08:10:00,2024-04-26 08:20:00,165.225.26.101,1,DE,2024-04-26 08:10:00,8
18273120,1145109,19418229,0.06266631,2024-04-26 08:10:00,2024-04-26 08:20:00,155.91.45.242,1,US,2024-04-26 08:10:00,8
15094,10563,25657,0.699814496,2024-04-26 08:10:00,2024-04-26 08:20:00,165.225.209.4,1,CA,2024-04-26 08:10:00,8
5238,11674,16912,2.228713249,2024-04-26 08:10:00,2024-04-26 08:20:00,147.161.131.1,1,AT,2024-04-26 08:10:00,8
4480,11778,16258,2.629017857,2024-04-26 08:20:00,2024-04-26 08:30:00,147.161.161.82,1,AE,2024-04-26 08:20:00,8
30396,28830,59226,0.948480063,2024-04-26 08:20:00,2024-04-26 08:30:00,136.226.67.101,1,US,2024-04-26 08:20:00,8
28628,13570,42198,0.474011457,2024-04-26 08:20:00,2024-04-26 08:30:00,165.225.212.255,1,CA,2024-04-26 08:20:00,8
1360,436,1796,0.320588235,2024-04-26 08:20:00,2024-04-26 08:30:00,198.235.24.81,0,US,2024-04-26 08:20:00,8
3976,11282,15258,2.837525151,2024-04-26 08:20:00,2024-04-26 08:30:00,94.188.248.74,1,IL,2024-04-26 08:20:00,8
9440,23452,32892,2.484322034,2024-04-26 08:20:00,2024-04-26 08:30:00,165.225.26.101,1,DE,2024-04-26 08:20:00,8
18285525,1130944,19416469,0.06184914,2024-04-26 08:20:00,2024-04-26 08:30:00,155.91.45.242,1,US,2024-04-26 08:20:00,8
24200,41078,65278,1.697438017,2024-04-26 08:20:00,2024-04-26 08:30:00,165.225.209.4,1,CA,2024-04-26 08:20:00,8
5030,11570,16600,2.300198807,2024-04-26 08:20:00,2024-04-26 08:30:00,147.161.131.1,1,AT,2024-04-26 08:20:00,8
7204,5860,13064,0.813436979,2024-04-26 08:20:00,2024-04-26 08:30:00,136.226.80.97,1,US,2024-04-26 08:20:00,8
4168,11674,15842,2.800863724,2024-04-26 08:30:00,2024-04-26 08:40:00,147.161.161.82,1,AE,2024-04-26 08:30:00,8
37156,48239,85395,1.298282915,2024-04-26 08:30:00,2024-04-26 08:40:00,136.226.67.101,1,US,2024-04-26 08:30:00,8
27912,6080,33992,0.217827458,2024-04-26 08:30:00,2024-04-26 08:40:00,165.225.213.7,1,CA,2024-04-26 08:30:00,8
44390,22134,66524,0.498625817,2024-04-26 08:30:00,2024-04-26 08:40:00,136.226.64.114,1,US,2024-04-26 08:30:00,8
4686,11778,16464,2.513444302,2024-04-26 08:30:00,2024-04-26 08:40:00,136.226.77.103,1,CA,2024-04-26 08:30:00,8
18239056,1144663,19383719,0.062758895,2024-04-26 08:30:00,2024-04-26 08:40:00,155.91.45.242,1,US,2024-04-26 08:30:00,8
6806,13238,20044,1.945048487,2024-04-26 08:30:00,2024-04-26 08:40:00,165.225.209.4,1,CA,2024-04-26 08:30:00,8
10118,14760,24878,1.458786321,2024-04-26 08:30:00,2024-04-26 08:40:00,147.161.131.1,1,AT,2024-04-26 08:30:00,8
